mountain.png,corr,watermark_present
1,0.0150687,0
2,0.0181432,0
3,0.0528567,0
4,0.013877,0
5,0.0320676,0
6,0.114073,0
7,0.0606909,0
8,0.0215629,0
9,0.000996126,0
10,0.00515548,0
11,0.00615764,0
12,0.0119472,0
13,0.0716996,0
14,0.144962,0
15,0.0336364,0
16,0.0349182,0
17,0.00993273,0
18,0.0262015,0
19,0.00740977,0
20,0.0896414,0
21,0.0530701,0
22,0.00758426,0
23,0.065925,0
24,0.000910591,0
25,0.00387913,0
26,0.0294937,0
27,0.0524697,0
28,0.0260966,0
29,0.00305667,0
30,0.0172331,0
31,0.00287327,0
32,0.0683575,0
33,0.00822804,0
34,0.0343322,0
35,0.017763,0
36,0.10944,0
37,0.021006,0
38,0.0369802,0
39,0.0323042,0
40,0.030626,0
41,0.0203491,0
42,0.0115293,0
43,0.000919947,0
44,0.0300027,0
45,0.0340639,0
46,0.0311153,0
47,0.0404917,0
48,0.00993445,0
49,0.0198395,0
50,0.043892,0
51,0.0481572,0
52,0.00675292,0
53,0.0293227,0
54,0.00612028,0
55,0.0952996,0
56,0.0144707,0
57,0.0405327,0
58,0.163393,0
59,0.0444445,0
60,0.535025,1
61,0.0452415,0
62,0.0911055,0
63,0.0568444,0
64,0.0620469,0
65,0.0312123,0
66,0.0342796,0
67,0.0233119,0
68,0.0109208,0
69,0.0540432,0
70,0.0144652,0
71,0.044406,0
72,0.0312143,0
73,0.0486558,0
74,0.0658763,0
75,0.0316588,0
76,0.0388083,0
77,0.0604631,0
78,0.0738817,0
79,0.0818497,0
80,0.10537,0
81,0.117803,0
82,0.135952,0
83,0.0137816,0
84,0.00148381,0
85,0.0349093,0
86,0.0445958,0
87,0.0184229,0
88,0.0642101,0
89,0.0632375,0
90,0.0532367,0
91,0.0994878,0
92,0.0232306,0
93,0.0109688,0
94,0.0183085,0
95,0.0453367,0
96,0.0241021,0
97,0.00837376,0
98,0.0361785,0
99,0.00525234,0
100,0.0961085,0
